# SUMMARY (per locale x criterion)
locale,language,criterion,n_pairs,llm_mean,human_mean,bias_total,mae_total,llm_low,llm_mid,llm_high,hum_low,hum_mid,hum_high
ar_EG,Arabic,instruction_following,736,6.2989,5.8139,0.4851,0.8981,0.1114,0.0000,0.8886,0.1277,0.1386,0.7337
ar_EG,Arabic,naturalness,736,6.1101,3.1549,2.9552,3.1318,0.1019,0.0122,0.8859,0.5774,0.1943,0.2283
ar_EG,Arabic,coherence,736,6.3234,5.5910,0.7323,0.9851,0.1060,0.0082,0.8859,0.1454,0.2038,0.6508
bn_BD,Bengali,instruction_following,736,5.7120,4.1889,1.5231,2.0068,0.1698,0.1033,0.7269,0.2677,0.6114,0.1209
bn_BD,Bengali,naturalness,736,5.3791,3.6617,1.7174,1.9891,0.2609,0.0897,0.6495,0.4130,0.5054,0.0815
bn_BD,Bengali,coherence,736,5.5136,3.4185,2.0951,2.4701,0.2133,0.0992,0.6875,0.5082,0.4185,0.0734
cs_CZ,Czech,instruction_following,736,6.4144,5.8492,0.5652,0.9620,0.0598,0.0014,0.9389,0.0489,0.2541,0.6970
cs_CZ,Czech,naturalness,736,6.1929,5.3383,0.8546,1.1916,0.0666,0.0652,0.8682,0.1005,0.3859,0.5136
cs_CZ,Czech,coherence,736,6.3505,5.6848,0.6658,1.0571,0.0720,0.0503,0.8777,0.0707,0.3057,0.6236
de_DE,German,instruction_following,736,6.6005,6.3220,0.2785,0.7024,0.0204,0.0000,0.9796,0.0231,0.1685,0.8084
de_DE,German,naturalness,736,6.6141,6.0639,0.5503,0.8791,0.0190,0.0190,0.9620,0.0272,0.2582,0.7147
de_DE,German,coherence,736,6.5245,6.5774,-0.0530,0.5557,0.0272,0.0068,0.9660,0.0068,0.0815,0.9117
en_US,English,instruction_following,736,6.6970,6.4389,0.2582,0.6005,0.0000,0.0000,1.0000,0.0122,0.1101,0.8777
en_US,English,naturalness,736,6.9144,6.2310,0.6834,0.7785,0.0000,0.0014,0.9986,0.0068,0.2609,0.7323
en_US,English,coherence,736,6.7649,6.3560,0.4090,0.6644,0.0027,0.0000,0.9973,0.0109,0.1562,0.8329
hi_IN,Hindi,instruction_following,736,6.3302,5.8546,0.4755,1.0408,0.1114,0.0014,0.8872,0.0503,0.3668,0.5829
hi_IN,Hindi,naturalness,736,6.1250,5.6073,0.5177,1.0367,0.1182,0.0448,0.8370,0.0761,0.4212,0.5027
hi_IN,Hindi,coherence,736,6.1698,5.9538,0.2160,1.0177,0.1386,0.0122,0.8492,0.0408,0.3478,0.6114
id_ID,Indonesian,instruction_following,736,6.5978,6.1671,0.4307,0.7731,0.0557,0.0000,0.9443,0.0856,0.1603,0.7541
id_ID,Indonesian,naturalness,736,6.5245,5.8981,0.6264,0.9470,0.0367,0.0380,0.9253,0.0571,0.3030,0.6399
id_ID,Indonesian,coherence,736,6.6359,5.9918,0.6440,0.8967,0.0476,0.0041,0.9484,0.0584,0.2663,0.6753
ja_JP,Japanese,instruction_following,736,6.6399,5.6019,1.0380,1.2337,0.0258,0.0000,0.9742,0.1114,0.3288,0.5598
ja_JP,Japanese,naturalness,736,6.4226,5.6155,0.8071,1.2011,0.0530,0.0340,0.9130,0.1576,0.2188,0.6236
ja_JP,Japanese,coherence,736,6.4484,5.7310,0.7174,1.1141,0.0693,0.0014,0.9293,0.1332,0.2296,0.6372
ru_RU,Russian,instruction_following,736,6.6427,6.4851,0.1576,0.5870,0.0380,0.0000,0.9620,0.0408,0.1399,0.8193
ru_RU,Russian,naturalness,736,6.4579,5.8424,0.6155,0.8682,0.0489,0.0149,0.9361,0.0761,0.3111,0.6128
ru_RU,Russian,coherence,736,6.6168,6.4728,0.1440,0.5897,0.0340,0.0027,0.9633,0.0272,0.1495,0.8234
zh_CN,Chinese,instruction_following,736,6.6644,5.9783,0.6861,0.9851,0.0136,0.0000,0.9864,0.0978,0.2636,0.6386
zh_CN,Chinese,naturalness,736,6.6617,6.0625,0.5992,0.8736,0.0204,0.0136,0.9660,0.0367,0.3315,0.6318
zh_CN,Chinese,coherence,736,6.5951,6.1250,0.4701,0.9375,0.0299,0.0000,0.9701,0.0734,0.2541,0.6726

# LEVEL DETAIL (per locale x criterion x llm_level)
locale,language,criterion,llm_level,count,human_mean,cond_bias,recommendation
zh_CN,Chinese,instruction_following,7,525,6.1905,0.8095,↓  snížit  (LLM o +0.81 nad lidmi)
zh_CN,Chinese,naturalness,1,5,5.0000,-4.0000,↑  zvýšit  (LLM o -4.00 pod lidmi)
zh_CN,Chinese,naturalness,2,2,6.0000,-4.0000,↑  zvýšit  (LLM o -4.00 pod lidmi)
zh_CN,Chinese,naturalness,3,8,4.7500,-1.7500,↑  zvýšit  (LLM o -1.75 pod lidmi)
zh_CN,Chinese,naturalness,4,10,5.3000,-1.3000,↑  zvýšit  (LLM o -1.30 pod lidmi)
zh_CN,Chinese,naturalness,5,0,,,—  (LLM toto skóre nepoužilo)
zh_CN,Chinese,naturalness,6,147,5.6463,0.3537,↓  snížit  (LLM o +0.35 nad lidmi)
zh_CN,Chinese,naturalness,7,564,6.2128,0.7872,↓  snížit  (LLM o +0.79 nad lidmi)
zh_CN,Chinese,coherence,1,4,5.7500,-4.7500,↑  zvýšit  (LLM o -4.75 pod lidmi)
zh_CN,Chinese,coherence,2,0,,,—  (LLM toto skóre nepoužilo)
zh_CN,Chinese,coherence,3,18,5.2222,-2.2222,↑  zvýšit  (LLM o -2.22 pod lidmi)
zh_CN,Chinese,coherence,4,0,,,—  (LLM toto skóre nepoužilo)
zh_CN,Chinese,coherence,5,0,,,—  (LLM toto skóre nepoužilo)
zh_CN,Chinese,coherence,6,202,5.8267,0.1733,OK
zh_CN,Chinese,coherence,7,512,6.2773,0.7227,↓  snížit  (LLM o +0.72 nad lidmi)
