# SUMMARY (per locale x criterion)
locale,language,criterion,n_pairs,llm_mean,human_mean,bias_total,mae_total,llm_low,llm_mid,llm_high,hum_low,hum_mid,hum_high
ar_EG,Arabic,instruction_following,736,5.9742,5.8139,0.1603,0.9755,0.1576,0.1019,0.7405,0.1277,0.1386,0.7337
ar_EG,Arabic,naturalness,736,5.7215,3.1549,2.5666,2.8601,0.1943,0.1413,0.6644,0.5774,0.1943,0.2283
ar_EG,Arabic,coherence,736,6.2024,5.5910,0.6114,0.9565,0.1264,0.0815,0.7921,0.1454,0.2038,0.6508
bn_BD,Bengali,instruction_following,736,5.2853,4.1889,1.0965,1.8030,0.2812,0.1345,0.5842,0.2677,0.6114,0.1209
bn_BD,Bengali,naturalness,736,4.7921,3.6617,1.1304,1.7283,0.4022,0.1141,0.4837,0.4130,0.5054,0.0815
bn_BD,Bengali,coherence,736,5.2391,3.4185,1.8207,2.2473,0.3057,0.1033,0.5910,0.5082,0.4185,0.0734
cs_CZ,Czech,instruction_following,736,6.2405,5.8492,0.3913,0.9783,0.0965,0.1318,0.7717,0.0489,0.2541,0.6970
cs_CZ,Czech,naturalness,736,5.6114,5.3383,0.2731,1.1019,0.1984,0.1821,0.6196,0.1005,0.3859,0.5136
cs_CZ,Czech,coherence,736,6.3777,5.6848,0.6929,1.0217,0.0666,0.1427,0.7908,0.0707,0.3057,0.6236
de_DE,German,instruction_following,736,6.6332,6.3220,0.3111,0.6698,0.0394,0.0774,0.8832,0.0231,0.1685,0.8084
de_DE,German,naturalness,736,6.1780,6.0639,0.1141,0.9810,0.0720,0.1658,0.7622,0.0272,0.2582,0.7147
de_DE,German,coherence,736,6.6440,6.5774,0.0666,0.5312,0.0312,0.0951,0.8736,0.0068,0.0815,0.9117
en_US,English,instruction_following,736,6.8560,6.4389,0.4171,0.5639,0.0149,0.0312,0.9538,0.0122,0.1101,0.8777
en_US,English,naturalness,736,6.9130,6.2310,0.6821,0.7745,0.0014,0.0190,0.9796,0.0068,0.2609,0.7323
en_US,English,coherence,736,6.9470,6.3560,0.5910,0.6590,0.0027,0.0163,0.9810,0.0109,0.1562,0.8329
hi_IN,Hindi,instruction_following,736,6.1087,5.8546,0.2541,1.0639,0.1399,0.0965,0.7636,0.0503,0.3668,0.5829
hi_IN,Hindi,naturalness,736,5.5693,5.6073,-0.0380,1.1630,0.1943,0.1644,0.6413,0.0761,0.4212,0.5027
hi_IN,Hindi,coherence,736,6.0870,5.9538,0.1332,1.0788,0.1413,0.0870,0.7717,0.0408,0.3478,0.6114
id_ID,Indonesian,instruction_following,736,6.5530,6.1671,0.3859,0.7908,0.0571,0.0802,0.8628,0.0856,0.1603,0.7541
id_ID,Indonesian,naturalness,736,6.1236,5.8981,0.2255,1.0109,0.0951,0.1535,0.7514,0.0571,0.3030,0.6399
id_ID,Indonesian,coherence,736,6.5435,5.9918,0.5516,0.9158,0.0489,0.1019,0.8492,0.0584,0.2663,0.6753
ja_JP,Japanese,instruction_following,736,6.2391,5.6019,0.6372,1.1671,0.1005,0.1304,0.7690,0.1114,0.3288,0.5598
ja_JP,Japanese,naturalness,736,6.0041,5.6155,0.3886,1.2283,0.1264,0.1576,0.7160,0.1576,0.2188,0.6236
ja_JP,Japanese,coherence,736,6.3342,5.7310,0.6033,1.1168,0.0938,0.1101,0.7962,0.1332,0.2296,0.6372
ru_RU,Russian,instruction_following,736,6.3601,6.4851,-0.1250,0.6739,0.0652,0.1264,0.8084,0.0408,0.1399,0.8193
ru_RU,Russian,naturalness,736,5.9280,5.8424,0.0856,0.8057,0.1291,0.1630,0.7079,0.0761,0.3111,0.6128
ru_RU,Russian,coherence,736,6.5489,6.4728,0.0761,0.5842,0.0394,0.1209,0.8397,0.0272,0.1495,0.8234
zh_CN,Chinese,instruction_following,736,6.5761,5.9783,0.5978,0.8967,0.0584,0.0693,0.8723,0.0978,0.2636,0.6386
zh_CN,Chinese,naturalness,736,6.3546,6.0625,0.2921,0.8764,0.0516,0.1467,0.8016,0.0367,0.3315,0.6318
zh_CN,Chinese,coherence,736,6.6644,6.1250,0.5394,0.9117,0.0272,0.0938,0.8791,0.0734,0.2541,0.6726

# LEVEL DETAIL (per locale x criterion x llm_level)
locale,language,criterion,llm_level,count,human_mean,cond_bias,recommendation
zh_CN,Chinese,instruction_following,1,8,4.5000,-3.5000,↑  zvýšit  (LLM o -3.50 pod lidmi)
zh_CN,Chinese,instruction_following,2,0,,,—  (LLM toto skóre nepoužilo)
zh_CN,Chinese,instruction_following,3,35,3.2571,-0.2571,OK
zh_CN,Chinese,instruction_following,4,6,5.5000,-1.5000,↑  zvýšit  (LLM o -1.50 pod lidmi)
zh_CN,Chinese,instruction_following,5,45,5.3778,-0.3778,↑  zvýšit  (LLM o -0.38 pod lidmi)
zh_CN,Chinese,instruction_following,6,16,5.4375,0.5625,↓  snížit  (LLM o +0.56 nad lidmi)
zh_CN,Chinese,instruction_following,7,626,6.2109,0.7891,↓  snížit  (LLM o +0.79 nad lidmi)
zh_CN,Chinese,naturalness,1,2,2.0000,-1.0000,↑  zvýšit  (LLM o -1.00 pod lidmi)
zh_CN,Chinese,naturalness,2,0,,,—  (LLM toto skóre nepoužilo)
zh_CN,Chinese,naturalness,3,36,5.4444,-2.4444,↑  zvýšit  (LLM o -2.44 pod lidmi)
zh_CN,Chinese,naturalness,4,23,5.2174,-1.2174,↑  zvýšit  (LLM o -1.22 pod lidmi)
zh_CN,Chinese,naturalness,5,85,5.4824,-0.4824,↑  zvýšit  (LLM o -0.48 pod lidmi)
zh_CN,Chinese,naturalness,6,80,6.0000,0.0000,OK
zh_CN,Chinese,naturalness,7,510,6.2667,0.7333,↓  snížit  (LLM o +0.73 nad lidmi)
zh_CN,Chinese,coherence,1,5,4.6000,-3.6000,↑  zvýšit  (LLM o -3.60 pod lidmi)
zh_CN,Chinese,coherence,2,0,,,—  (LLM toto skóre nepoužilo)
zh_CN,Chinese,coherence,3,15,5.4667,-2.4667,↑  zvýšit  (LLM o -2.47 pod lidmi)
zh_CN,Chinese,coherence,4,3,4.3333,-0.3333,↑  zvýšit  (LLM o -0.33 pod lidmi)
zh_CN,Chinese,coherence,5,66,5.5909,-0.5909,↑  zvýšit  (LLM o -0.59 pod lidmi)
zh_CN,Chinese,coherence,6,16,6.1250,-0.1250,OK
zh_CN,Chinese,coherence,7,631,6.2171,0.7829,↓  snížit  (LLM o +0.78 nad lidmi)
