# SUMMARY (per locale x criterion)
locale,language,criterion,n_pairs,llm_mean,human_mean,bias_total,mae_total,llm_low,llm_mid,llm_high,hum_low,hum_mid,hum_high
ar_EG,Arabic,instruction_following,736,5.9266,5.8139,0.1128,0.9959,0.1060,0.1766,0.7174,0.1277,0.1386,0.7337
ar_EG,Arabic,naturalness,736,6.1875,3.1549,3.0326,3.1413,0.0666,0.1916,0.7418,0.5774,0.1943,0.2283
ar_EG,Arabic,coherence,736,6.3764,5.5910,0.7853,1.0109,0.0747,0.0897,0.8356,0.1454,0.2038,0.6508
bn_BD,Bengali,instruction_following,736,5.2405,4.1889,1.0516,1.6739,0.2541,0.1834,0.5625,0.2677,0.6114,0.1209
bn_BD,Bengali,naturalness,736,5.2989,3.6617,1.6372,1.9389,0.2595,0.1780,0.5625,0.4130,0.5054,0.0815
bn_BD,Bengali,coherence,736,5.3465,3.4185,1.9280,2.3111,0.2717,0.1114,0.6168,0.5082,0.4185,0.0734
cs_CZ,Czech,instruction_following,736,6.1902,5.8492,0.3410,1.0312,0.0815,0.1739,0.7446,0.0489,0.2541,0.6970
cs_CZ,Czech,naturalness,736,6.1590,5.3383,0.8207,1.1712,0.0584,0.2188,0.7228,0.1005,0.3859,0.5136
cs_CZ,Czech,coherence,736,6.5408,5.6848,0.8560,1.0978,0.0462,0.1073,0.8465,0.0707,0.3057,0.6236
de_DE,German,instruction_following,736,6.3777,6.3220,0.0557,0.7976,0.0258,0.1467,0.8274,0.0231,0.1685,0.8084
de_DE,German,naturalness,736,6.5190,6.0639,0.4552,0.8954,0.0149,0.1345,0.8505,0.0272,0.2582,0.7147
de_DE,German,coherence,736,6.7432,6.5774,0.1658,0.4891,0.0082,0.0707,0.9212,0.0068,0.0815,0.9117
en_US,English,instruction_following,736,6.4878,6.4389,0.0489,0.6766,0.0068,0.1155,0.8777,0.0122,0.1101,0.8777
en_US,English,naturalness,736,6.9497,6.2310,0.7188,0.7840,0.0000,0.0122,0.9878,0.0068,0.2609,0.7323
en_US,English,coherence,736,6.8668,6.3560,0.5109,0.6712,0.0014,0.0435,0.9552,0.0109,0.1562,0.8329
hi_IN,Hindi,instruction_following,736,6.0109,5.8546,0.1562,1.0014,0.0870,0.1997,0.7133,0.0503,0.3668,0.5829
hi_IN,Hindi,naturalness,736,6.1277,5.6073,0.5204,1.0666,0.0897,0.1562,0.7541,0.0761,0.4212,0.5027
hi_IN,Hindi,coherence,736,6.2473,5.9538,0.2935,1.0163,0.0951,0.1087,0.7962,0.0408,0.3478,0.6114
id_ID,Indonesian,instruction_following,736,6.3424,6.1671,0.1753,0.8302,0.0516,0.1807,0.7677,0.0856,0.1603,0.7541
id_ID,Indonesian,naturalness,736,6.4986,5.8981,0.6005,0.9511,0.0245,0.1440,0.8315,0.0571,0.3030,0.6399
id_ID,Indonesian,coherence,736,6.7785,5.9918,0.7867,0.9090,0.0217,0.0611,0.9171,0.0584,0.2663,0.6753
ja_JP,Japanese,instruction_following,736,6.3818,5.6019,0.7799,1.1630,0.0435,0.1345,0.8220,0.1114,0.3288,0.5598
ja_JP,Japanese,naturalness,736,6.3777,5.6155,0.7622,1.2052,0.0258,0.1481,0.8261,0.1576,0.2188,0.6236
ja_JP,Japanese,coherence,736,6.6209,5.7310,0.8899,1.1590,0.0272,0.0666,0.9062,0.1332,0.2296,0.6372
ru_RU,Russian,instruction_following,736,6.3981,6.4851,-0.0870,0.6957,0.0571,0.1128,0.8302,0.0408,0.1399,0.8193
ru_RU,Russian,naturalness,736,6.4389,5.8424,0.5965,0.8465,0.0272,0.1209,0.8519,0.0761,0.3111,0.6128
ru_RU,Russian,coherence,736,6.6821,6.4728,0.2092,0.5734,0.0204,0.0693,0.9103,0.0272,0.1495,0.8234
zh_CN,Chinese,instruction_following,736,6.3601,5.9783,0.3818,1.0204,0.0476,0.1236,0.8288,0.0978,0.2636,0.6386
zh_CN,Chinese,naturalness,736,6.6617,6.0625,0.5992,0.8546,0.0095,0.0951,0.8954,0.0367,0.3315,0.6318
zh_CN,Chinese,coherence,736,6.6440,6.1250,0.5190,0.9457,0.0190,0.0842,0.8967,0.0734,0.2541,0.6726

# LEVEL DETAIL (per locale x criterion x llm_level)
locale,language,criterion,llm_level,count,human_mean,cond_bias,recommendation
zh_CN,Chinese,instruction_following,5,80,5.8625,-0.8625,↑  zvýšit  (LLM o -0.86 pod lidmi)
zh_CN,Chinese,instruction_following,6,125,5.8400,0.1600,OK
zh_CN,Chinese,instruction_following,7,485,6.2082,0.7918,↓  snížit  (LLM o +0.79 nad lidmi)
zh_CN,Chinese,naturalness,1,1,1.0000,0.0000,OK
zh_CN,Chinese,naturalness,2,0,,,—  (LLM toto skóre nepoužilo)
zh_CN,Chinese,naturalness,3,6,5.3333,-2.3333,↑  zvýšit  (LLM o -2.33 pod lidmi)
zh_CN,Chinese,naturalness,4,16,5.2500,-1.2500,↑  zvýšit  (LLM o -1.25 pod lidmi)
zh_CN,Chinese,naturalness,5,54,5.5556,-0.5556,↑  zvýšit  (LLM o -0.56 pod lidmi)
zh_CN,Chinese,naturalness,6,63,5.6667,0.3333,↓  snížit  (LLM o +0.33 nad lidmi)
zh_CN,Chinese,naturalness,7,596,6.1879,0.8121,↓  snížit  (LLM o +0.81 nad lidmi)
zh_CN,Chinese,coherence,1,2,3.0000,-2.0000,↑  zvýšit  (LLM o -2.00 pod lidmi)
zh_CN,Chinese,coherence,2,0,,,—  (LLM toto skóre nepoužilo)
zh_CN,Chinese,coherence,3,12,5.4167,-2.4167,↑  zvýšit  (LLM o -2.42 pod lidmi)
zh_CN,Chinese,coherence,4,5,6.2000,-2.2000,↑  zvýšit  (LLM o -2.20 pod lidmi)
zh_CN,Chinese,coherence,5,57,6.0877,-1.0877,↑  zvýšit  (LLM o -1.09 pod lidmi)
zh_CN,Chinese,coherence,6,73,5.8767,0.1233,OK
zh_CN,Chinese,coherence,7,587,6.1840,0.8160,↓  snížit  (LLM o +0.82 nad lidmi)
