# SUMMARY (per locale x criterion)
locale,language,criterion,n_pairs,llm_mean,human_mean,bias_total,mae_total,llm_low,llm_mid,llm_high,hum_low,hum_mid,hum_high
ar_EG,Arabic,instruction_following,736,6.2351,5.8139,0.4212,0.9076,0.1277,0.0707,0.8016,0.1277,0.1386,0.7337
ar_EG,Arabic,naturalness,736,5.9321,3.1549,2.7772,2.9674,0.1114,0.0897,0.7989,0.5774,0.1943,0.2283
ar_EG,Arabic,coherence,736,6.3193,5.5910,0.7283,1.0163,0.1087,0.0679,0.8234,0.1454,0.2038,0.6508
bn_BD,Bengali,instruction_following,736,5.2826,4.1889,1.0938,1.9986,0.3030,0.0734,0.6236,0.2677,0.6114,0.1209
bn_BD,Bengali,naturalness,736,4.9905,3.6617,1.3288,1.8995,0.3098,0.1250,0.5652,0.4130,0.5054,0.0815
bn_BD,Bengali,coherence,736,5.3383,3.4185,1.9198,2.2677,0.2649,0.1291,0.6060,0.5082,0.4185,0.0734
cs_CZ,Czech,instruction_following,736,6.2649,5.8492,0.4158,1.1304,0.0965,0.1155,0.7880,0.0489,0.2541,0.6970
cs_CZ,Czech,naturalness,736,6.0367,5.3383,0.6984,1.2011,0.0761,0.1562,0.7677,0.1005,0.3859,0.5136
cs_CZ,Czech,coherence,736,6.3234,5.6848,0.6386,1.0978,0.0774,0.1264,0.7962,0.0707,0.3057,0.6236
de_DE,German,instruction_following,736,6.6793,6.3220,0.3573,0.7079,0.0394,0.0557,0.9049,0.0231,0.1685,0.8084
de_DE,German,naturalness,736,6.5340,6.0639,0.4701,0.9049,0.0122,0.0802,0.9076,0.0272,0.2582,0.7147
de_DE,German,coherence,736,6.6848,6.5774,0.1073,0.5476,0.0149,0.0829,0.9022,0.0068,0.0815,0.9117
en_US,English,instruction_following,736,6.8723,6.4389,0.4334,0.5802,0.0136,0.0245,0.9620,0.0122,0.1101,0.8777
en_US,English,naturalness,736,6.9239,6.2310,0.6929,0.7853,0.0054,0.0027,0.9918,0.0068,0.2609,0.7323
en_US,English,coherence,736,6.9484,6.3560,0.5924,0.6603,0.0000,0.0190,0.9810,0.0109,0.1562,0.8329
hi_IN,Hindi,instruction_following,736,6.2459,5.8546,0.3913,1.0000,0.1128,0.0992,0.7880,0.0503,0.3668,0.5829
hi_IN,Hindi,naturalness,736,5.8682,5.6073,0.2609,1.1196,0.1345,0.1141,0.7514,0.0761,0.4212,0.5027
hi_IN,Hindi,coherence,736,6.1726,5.9538,0.2188,1.0367,0.1060,0.1168,0.7772,0.0408,0.3478,0.6114
id_ID,Indonesian,instruction_following,736,6.6264,6.1671,0.4592,0.8125,0.0380,0.0761,0.8859,0.0856,0.1603,0.7541
id_ID,Indonesian,naturalness,736,6.3750,5.8981,0.4769,0.9688,0.0462,0.0978,0.8560,0.0571,0.3030,0.6399
id_ID,Indonesian,coherence,736,6.5584,5.9918,0.5666,0.9280,0.0340,0.1046,0.8614,0.0584,0.2663,0.6753
ja_JP,Japanese,instruction_following,736,6.4633,5.6019,0.8614,1.2255,0.0747,0.0774,0.8478,0.1114,0.3288,0.5598
ja_JP,Japanese,naturalness,736,6.3111,5.6155,0.6957,1.2011,0.0516,0.1073,0.8410,0.1576,0.2188,0.6236
ja_JP,Japanese,coherence,736,6.4592,5.7310,0.7283,1.1033,0.0530,0.1073,0.8397,0.1332,0.2296,0.6372
ru_RU,Russian,instruction_following,736,6.5285,6.4851,0.0435,0.6386,0.0666,0.0571,0.8764,0.0408,0.1399,0.8193
ru_RU,Russian,naturalness,736,6.3383,5.8424,0.4959,0.8818,0.0543,0.0910,0.8546,0.0761,0.3111,0.6128
ru_RU,Russian,coherence,736,6.5679,6.4728,0.0951,0.6332,0.0231,0.1236,0.8533,0.0272,0.1495,0.8234
zh_CN,Chinese,instruction_following,736,6.6481,5.9783,0.6698,1.0041,0.0571,0.0340,0.9090,0.0978,0.2636,0.6386
zh_CN,Chinese,naturalness,736,6.5666,6.0625,0.5041,0.9280,0.0258,0.0747,0.8995,0.0367,0.3315,0.6318
zh_CN,Chinese,coherence,736,6.6590,6.1250,0.5340,0.9742,0.0217,0.0883,0.8899,0.0734,0.2541,0.6726

# LEVEL DETAIL (per locale x criterion x llm_level)
locale,language,criterion,llm_level,count,human_mean,cond_bias,recommendation
ru_RU,Russian,coherence,7,606,6.5990,0.4010,↓  snížit  (LLM o +0.40 nad lidmi)
zh_CN,Chinese,instruction_following,1,12,4.8333,-3.8333,↑  zvýšit  (LLM o -3.83 pod lidmi)
zh_CN,Chinese,instruction_following,2,2,5.0000,-3.0000,↑  zvýšit  (LLM o -3.00 pod lidmi)
zh_CN,Chinese,instruction_following,3,28,3.7500,-0.7500,↑  zvýšit  (LLM o -0.75 pod lidmi)
zh_CN,Chinese,instruction_following,4,8,6.3750,-2.3750,↑  zvýšit  (LLM o -2.38 pod lidmi)
zh_CN,Chinese,instruction_following,5,17,4.5294,0.4706,↓  snížit  (LLM o +0.47 nad lidmi)
zh_CN,Chinese,instruction_following,6,7,5.2857,0.7143,↓  snížit  (LLM o +0.71 nad lidmi)
zh_CN,Chinese,instruction_following,7,662,6.1360,0.8640,↓  snížit  (LLM o +0.86 nad lidmi)
zh_CN,Chinese,naturalness,1,2,4.0000,-3.0000,↑  zvýšit  (LLM o -3.00 pod lidmi)
zh_CN,Chinese,naturalness,2,9,5.4444,-3.4444,↑  zvýšit  (LLM o -3.44 pod lidmi)
zh_CN,Chinese,naturalness,3,8,5.8750,-2.8750,↑  zvýšit  (LLM o -2.88 pod lidmi)
zh_CN,Chinese,naturalness,4,40,5.3250,-1.3250,↑  zvýšit  (LLM o -1.33 pod lidmi)
zh_CN,Chinese,naturalness,5,15,5.6000,-0.6000,↑  zvýšit  (LLM o -0.60 pod lidmi)
zh_CN,Chinese,naturalness,6,80,5.8125,0.1875,OK
zh_CN,Chinese,naturalness,7,582,6.1787,0.8213,↓  snížit  (LLM o +0.82 nad lidmi)
zh_CN,Chinese,coherence,1,8,6.0000,-5.0000,↑  zvýšit  (LLM o -5.00 pod lidmi)
zh_CN,Chinese,coherence,2,2,5.0000,-3.0000,↑  zvýšit  (LLM o -3.00 pod lidmi)
zh_CN,Chinese,coherence,3,6,4.1667,-1.1667,↑  zvýšit  (LLM o -1.17 pod lidmi)
zh_CN,Chinese,coherence,4,31,5.9032,-1.9032,↑  zvýšit  (LLM o -1.90 pod lidmi)
zh_CN,Chinese,coherence,5,34,5.3824,-0.3824,↑  zvýšit  (LLM o -0.38 pod lidmi)
zh_CN,Chinese,coherence,6,8,6.3750,-0.3750,↑  zvýšit  (LLM o -0.38 pod lidmi)
zh_CN,Chinese,coherence,7,647,6.1947,0.8053,↓  snížit  (LLM o +0.81 nad lidmi)
