# SUMMARY (per locale x criterion)
locale,language,criterion,n_pairs,llm_mean,human_mean,bias_total,mae_total,llm_low,llm_mid,llm_high,hum_low,hum_mid,hum_high
ar_EG,Arabic,instruction_following,736,6.0068,5.8139,0.1929,1.0109,0.1495,0.0285,0.8220,0.1277,0.1386,0.7337
ar_EG,Arabic,naturalness,736,5.7677,3.1549,2.6128,2.8791,0.1467,0.0734,0.7799,0.5774,0.1943,0.2283
ar_EG,Arabic,coherence,736,6.1277,5.5910,0.5367,0.9986,0.1576,0.0462,0.7962,0.1454,0.2038,0.6508
bn_BD,Bengali,instruction_following,736,5.0938,4.1889,0.9049,1.8397,0.3274,0.0462,0.6264,0.2677,0.6114,0.1209
bn_BD,Bengali,naturalness,736,4.8424,3.6617,1.1807,1.8084,0.3492,0.1046,0.5462,0.4130,0.5054,0.0815
bn_BD,Bengali,coherence,736,5.1549,3.4185,1.7364,2.1168,0.3546,0.0774,0.5679,0.5082,0.4185,0.0734
cs_CZ,Czech,instruction_following,736,6.0883,5.8492,0.2391,1.0163,0.1087,0.0421,0.8492,0.0489,0.2541,0.6970
cs_CZ,Czech,naturalness,736,5.7636,5.3383,0.4253,1.1535,0.1685,0.0883,0.7432,0.1005,0.3859,0.5136
cs_CZ,Czech,coherence,736,6.1685,5.6848,0.4837,1.0761,0.1196,0.0924,0.7880,0.0707,0.3057,0.6236
de_DE,German,instruction_following,736,6.4198,6.3220,0.0978,0.7636,0.0462,0.0190,0.9348,0.0231,0.1685,0.8084
de_DE,German,naturalness,736,6.3139,6.0639,0.2500,0.9457,0.0639,0.0924,0.8438,0.0272,0.2582,0.7147
de_DE,German,coherence,736,6.5380,6.5774,-0.0394,0.5829,0.0516,0.0693,0.8791,0.0068,0.0815,0.9117
en_US,English,instruction_following,736,6.6848,6.4389,0.2459,0.6155,0.0109,0.0068,0.9823,0.0122,0.1101,0.8777
en_US,English,naturalness,736,6.9158,6.2310,0.6848,0.7772,0.0041,0.0014,0.9946,0.0068,0.2609,0.7323
en_US,English,coherence,736,6.8981,6.3560,0.5421,0.6617,0.0054,0.0177,0.9769,0.0109,0.1562,0.8329
hi_IN,Hindi,instruction_following,736,5.9932,5.8546,0.1386,1.0380,0.1372,0.0272,0.8356,0.0503,0.3668,0.5829
hi_IN,Hindi,naturalness,736,5.7310,5.6073,0.1236,1.0693,0.1658,0.1250,0.7092,0.0761,0.4212,0.5027
hi_IN,Hindi,coherence,736,6.0285,5.9538,0.0747,1.0666,0.1658,0.0842,0.7500,0.0408,0.3478,0.6114
id_ID,Indonesian,instruction_following,736,6.4334,6.1671,0.2663,0.8207,0.0611,0.0340,0.9049,0.0856,0.1603,0.7541
id_ID,Indonesian,naturalness,736,6.2840,5.8981,0.3859,0.9837,0.0802,0.0842,0.8356,0.0571,0.3030,0.6399
id_ID,Indonesian,coherence,736,6.4280,5.9918,0.4361,0.9253,0.0815,0.0679,0.8505,0.0584,0.2663,0.6753
ja_JP,Japanese,instruction_following,736,6.2812,5.6019,0.6793,1.1685,0.0761,0.0353,0.8886,0.1114,0.3288,0.5598
ja_JP,Japanese,naturalness,736,6.0870,5.6155,0.4715,1.2323,0.1141,0.0734,0.8125,0.1576,0.2188,0.6236
ja_JP,Japanese,coherence,736,6.2921,5.7310,0.5611,1.0910,0.1046,0.0829,0.8125,0.1332,0.2296,0.6372
ru_RU,Russian,instruction_following,736,6.3383,6.4851,-0.1467,0.7418,0.0666,0.0353,0.8981,0.0408,0.1399,0.8193
ru_RU,Russian,naturalness,736,6.2011,5.8424,0.3587,0.8478,0.0870,0.0883,0.8247,0.0761,0.3111,0.6128
ru_RU,Russian,coherence,736,6.4470,6.4728,-0.0258,0.6780,0.0462,0.1114,0.8424,0.0272,0.1495,0.8234
zh_CN,Chinese,instruction_following,736,6.4633,5.9783,0.4851,0.9851,0.0584,0.0014,0.9402,0.0978,0.2636,0.6386
zh_CN,Chinese,naturalness,736,6.4579,6.0625,0.3954,0.9660,0.0462,0.0734,0.8804,0.0367,0.3315,0.6318
zh_CN,Chinese,coherence,736,6.5571,6.1250,0.4321,0.9538,0.0448,0.0856,0.8696,0.0734,0.2541,0.6726

# LEVEL DETAIL (per locale x criterion x llm_level)
locale,language,criterion,llm_level,count,human_mean,cond_bias,recommendation
zh_CN,Chinese,instruction_following,1,11,4.8182,-3.8182,↑  zvýšit  (LLM o -3.82 pod lidmi)
zh_CN,Chinese,instruction_following,2,0,,,—  (LLM toto skóre nepoužilo)
zh_CN,Chinese,instruction_following,3,32,3.9062,-0.9062,↑  zvýšit  (LLM o -0.91 pod lidmi)
zh_CN,Chinese,instruction_following,4,0,,,—  (LLM toto skóre nepoužilo)
zh_CN,Chinese,instruction_following,5,1,7.0000,-2.0000,↑  zvýšit  (LLM o -2.00 pod lidmi)
zh_CN,Chinese,instruction_following,6,199,5.7437,0.2563,OK
zh_CN,Chinese,instruction_following,7,493,6.2312,0.7688,↓  snížit  (LLM o +0.77 nad lidmi)
zh_CN,Chinese,naturalness,1,11,5.2727,-4.2727,↑  zvýšit  (LLM o -4.27 pod lidmi)
zh_CN,Chinese,naturalness,2,0,,,—  (LLM toto skóre nepoužilo)
zh_CN,Chinese,naturalness,3,23,5.6087,-2.6087,↑  zvýšit  (LLM o -2.61 pod lidmi)
zh_CN,Chinese,naturalness,4,26,5.4231,-1.4231,↑  zvýšit  (LLM o -1.42 pod lidmi)
zh_CN,Chinese,naturalness,5,28,5.4643,-0.4643,↑  zvýšit  (LLM o -0.46 pod lidmi)
zh_CN,Chinese,naturalness,6,107,5.8411,0.1589,OK
zh_CN,Chinese,naturalness,7,541,6.2033,0.7967,↓  snížit  (LLM o +0.80 nad lidmi)
zh_CN,Chinese,coherence,1,7,5.8571,-4.8571,↑  zvýšit  (LLM o -4.86 pod lidmi)
zh_CN,Chinese,coherence,2,0,,,—  (LLM toto skóre nepoužilo)
zh_CN,Chinese,coherence,3,26,5.3077,-2.3077,↑  zvýšit  (LLM o -2.31 pod lidmi)
zh_CN,Chinese,coherence,4,1,7.0000,-3.0000,↑  zvýšit  (LLM o -3.00 pod lidmi)
zh_CN,Chinese,coherence,5,62,5.2903,-0.2903,OK
zh_CN,Chinese,coherence,6,53,6.2264,-0.2264,OK
zh_CN,Chinese,coherence,7,587,6.2419,0.7581,↓  snížit  (LLM o +0.76 nad lidmi)
